Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Function","Motor Type","Voltage - Rated","RPM","Torque - Rated (oz-in / mNm)","Power - Rated","Encoder Type","Size / Dimension","Diameter - Shaft","Length - Shaft and Bearing","Mounting Hole Spacing","Termination Style","Features","Gear Reduction Ratio","Torque - Max Momentary (oz-in / mNm)","Operating Temperature","URL"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g0832013d","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3763/MFG_VG0832013D.jpg","1670-VG0832013D-ND","VG0832013D","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 235HZ 1G","2,496","4.94","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","1.8VAC","-","-","-","-","Round - 0.315"" Dia (8.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG0832013D/9974290"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g0832012","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3804/MFG_VG0832012.jpg","1670-VG0832012-ND","VG0832012","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 235HZ 1G","2,258","4.64","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","1.8VAC","-","-","-","-","Round - 0.315"" Dia (8.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG0832012/7364317"
"https://www.vybronics.com/linear-lra-vibration-motors/v-l120628h","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4727/MFG_L120628H.jpg","1670-VL120628H-ND","VL120628H","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MTR 200HZ 1.8G","501","5.01","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","2VAC","-","-","-","-","Rectangular - 0.236"" x 0.110"" (6.00mm ~ 2.80mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VL120628H/15220801"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g0640001d","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3568/MFG_VG0640001D.jpg","1670-VG0640001D-ND","VG0640001D","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 210HZ 0.9G","1,039","6.78","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","1.8VAC","-","-","-","-","Round - 0.236"" Dia (6.00mm)","-","-","-","Solder Tab","-","-","-","-15°C ~ 55°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG0640001D/15220805"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g1040003d","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/333/MFG_G1040003D.jpg","1670-VG1040003D-ND","VG1040003D","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 170HZ 2G","14,433","9.29","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","2.5VAC","-","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Pressure Contact","-","-","-","-25°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG1040003D/10285886"
"https://www.vybronics.com/linear-lra-vibration-motors/v-lv101040a","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4590/MFG_VLV101040A.jpg","1670-VLV101040A-ND","VLV101040A","Vybronics Inc","Vybronics, Inc","VIBRATION LRA 170HZ 2.75G","1,204","10.58","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","2.5VAC","-","-","-","-","Square - 0.394"" x 0.394"" (10.00mm x 10.00mm)","-","-","-","Pressure Contact","-","-","-","-25°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VLV101040A/12323590"
"https://www.vybronics.com/wp-content/uploads/datasheet-files/Vybronics-VG1030001XH-datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6347/MFG_VG1030001XH.jpg","1670-VG1030001XH-ND","VG1030001XH","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 210HZ 1.5G","1,540","4.56","0","1","Tray","VG","Active","DC Motor","Vibration, LRA (Haptic)","-","2VAC","-","2.1 / 14.7","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Wire Leads","-","-","-","-25°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG1030001XH/24629404"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g0832022d","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3753/MFG_VG0832022D.jpg","1670-VG0832022D-ND","VG0832022D","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 235HZ 1G","2,040","4.64","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","1.8VAC","-","-","-","-","Round - 0.315"" Dia (8.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG0832022D/9974288"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g0832014l","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3663/MFG_VG0832014L.jpg","1670-VG0832014L-ND","VG0832014L","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 235HZ 1G","1,540","5.16","0","1","Tray","VG","Active","AC Motor","Vibration, LRA (Haptic)","-","1.8VAC","-","-","-","-","Round - 0.315"" Dia (8.00mm)","-","-","-","Solder Tab","-","-","-","-20°C ~ 60°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG0832014L/16376022"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g0832009l","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3766/MFG_VG0832009L.jpg","1670-VG0832009L-ND","VG0832009L","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 235HZ 1G","1,365","5.16","0","1","Tray","VG","Active","AC Motor","Vibration, LRA (Haptic)","-","1.8VAC","-","-","-","-","Round - 0.315"" Dia (8.00mm)","-","-","-","Pressure Contact","-","-","-","-20°C ~ 60°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG0832009L/16376023"
