item_type,title,creators,first_name,last_name,collection,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"Greece and Rome From the Pre-Socratics to Plotinus (A History of Philosophy, Vol. 1)","Frederick Copleston",Frederick,Copleston,Philosophy,9780385468435,0385468431,,Image,1993-03-01,,,,,544,,,,,,,,,,,,,2025-08-22,1
book,"History of Philosophy, Volume 2","Frederick Copleston",Frederick,Copleston,Philosophy,9780385468442,038546844X,,Image,1993-03-01,,,,,624,,,,,,,,,,,,,2025-08-22,1
book,"History of Philosophy, Volume 3","Frederick Copleston",Frederick,Copleston,Philosophy,9780385468459,0385468458,,Image,1993-03-01,,,,,496,,,,,,,,,,,,,2025-08-22,1
book,"History of Philosophy, Volume 4","Frederick Copleston",Frederick,Copleston,Philosophy,9780385470414,038547041X,,Image,1993-12-01,,,,,384,,,,,,,,,,,,,2025-08-22,1
book,"History of Philosophy, Volume 5","Frederick Copleston",Frederick,Copleston,Philosophy,9780385470421,0385470428,,Image,1993-12-01,,,,,448,,,,,,,,,,,,,2025-08-22,1
book,"History of Philosophy, Volume 6","Frederick Copleston",Frederick,Copleston,Philosophy,9780385470438,0385470436,,Image,1993-12-01,,,,,528,,,,,,,,,,,,,2025-08-22,1
book,"History of Philosophy, Volume 7","Frederick Copleston",Frederick,Copleston,Philosophy,9780385470445,0385470444,,Image,1994-02-01,,,,,512,,,,,,,,,,,,,2025-08-22,1
book,"History of Philosophy, Volume 8","Frederick Copleston",Frederick,Copleston,Philosophy,9780385470452,0385470452,,Image,1994-02-01,,,,,592,,,,,,,,,,,,,2025-08-22,1
book,"History of Philosophy, Volume 9","Frederick Copleston",Frederick,Copleston,Philosophy,9780385470469,0385470460,,Image,1994-02-01,,,,,496,,,,,,,,,,,,,2025-08-22,1
book,"Cambridge Companion Feminism Philos","Miranda Fricker",Miranda,Fricker,Philosophy,9780521624695,052162469X,"The thirteen specially-commissioned essays in this volume are designed to provide an accessible and stimulating guide through an area of philosophical thought and literature that has seen massive expansion in recent years. They encompass all the core subject areas commonly taught in anglophone undergraduate and graduate philosophy courses, offering both an overview of and a contribution to the relevant debates. This volume will be essential reading for any student or teacher of philosophy who is curious about the place of feminism in their subject.","Cambridge University Press",2008-08-21,,,,,,,,,,,,,,,,,,2025-08-22,1
